,Open,High,Low,Close,Volume,Dividends,Stock Splits,rolling_mean_5,rolling_std_5,rolling_mean_10,rolling_std_10,rolling_mean_20,rolling_std_20
2014-07-28,21.5062151933286,21.818408878574402,21.446855083684582,21.77004051208496,221272000,0.0,0.0,21.353631210327148,0.34210923007900074,21.044293785095213,0.4169060677260909,20.936455535888673,0.35516027237657183
2014-07-29,21.838189041716706,21.862373216480414,21.60074533168751,21.62932586669922,172572000,0.0,0.0,21.514564514160156,0.1836120718617118,21.11156940460205,0.4538236258459945,20.9963659286499,0.3663156347467136
2014-07-30,21.642518273445365,21.699679343392937,21.473229050324043,21.578760147094727,132040000,0.0,0.0,21.55677604675293,0.16469451094207102,21.18565979003906,0.46452573430677846,21.04726219177246,0.3732674280716823
2014-07-31,21.36110415366288,21.42486060236052,20.958769260279198,21.018129348754883,227372000,0.0,0.0,21.493896865844725,0.2866094981318001,21.240843772888184,0.397516954856929,21.070566654205322,0.35481535059947467
2014-08-01,20.864240007912105,21.242390879415158,20.844452185521085,21.134660720825195,194044000,0.0,0.0,21.4261833190918,0.3294987937280031,21.278220176696777,0.3634912867937698,21.093651580810548,0.34238676107850163
2014-08-04,21.18742610730682,21.23359545417886,20.9235991114317,21.01593780517578,159832000,0.0,0.0,21.27536277770996,0.3043876041638213,21.314496994018555,0.3080542925375705,21.089474773406984,0.3428212519955097
2014-08-05,20.96536618429849,21.03571969455345,20.745511255081734,20.912601470947266,223732000,0.0,0.0,21.13201789855957,0.26180831714181935,21.323291206359862,0.29342474602182783,21.086946392059325,0.3439863057853087
2014-08-06,20.831253002326658,20.991747826820923,20.82245860452534,20.877422332763672,154232000,0.0,0.0,20.99175033569336,0.10129128693165144,21.274263191223145,0.3244948146081087,21.082219123840332,0.3462915019878914
2014-08-07,20.974645516403218,21.20001229136859,20.791257818853737,20.875219345092773,186844000,0.1175,0.0,20.963168334960937,0.11162287494505051,21.228532600402833,0.3468269847661368,21.081229400634765,0.34688248959497736
2014-08-08,20.826606717277382,20.950337341626526,20.61007643896305,20.932661056518555,167460000,0.0,0.0,20.92276840209961,0.057443336420641186,21.174475860595702,0.3465774267343278,21.081133079528808,0.34692561649254466
2014-08-11,21.049760062579395,21.22872947013042,20.954752152747115,21.208843231201172,146340000,0.0,0.0,20.961349487304688,0.1404588170020402,21.118356132507323,0.2780952749903719,21.081324958801268,0.34699878795634503
2014-08-12,21.219892137878514,21.405488051209772,21.12488422442472,21.204425811767578,135180000,0.0,0.0,21.01971435546875,0.17218606094209069,21.07586612701416,0.21712688366929161,21.093717765808105,0.3467346416766573
2014-08-13,21.24420185005815,21.485034942626953,21.219897376497542,21.485034942626953,127664000,0.0,0.0,21.141236877441408,0.24547391445212244,21.066493606567384,0.19377393338898966,21.126076698303223,0.3517621319685914
2014-08-14,21.504915817275954,21.55794298011983,21.38781339338181,21.542476654052734,112464000,0.0,0.0,21.2746883392334,0.24607485560899225,21.118928337097167,0.24373523562162763,21.179886054992675,0.32696017927109955
2014-08-15,21.63085658441772,21.69493184606584,21.40106996234613,21.64853286743164,195804000,0.0,0.0,21.417862701416016,0.2015526714424887,21.170315551757813,0.2959896353476366,21.224267864227294,0.3273368664557165
2014-08-18,21.76121729792868,21.95565305682279,21.648534776609534,21.90925407409668,190288000,0.0,0.0,21.55794486999512,0.25600546376463756,21.259647178649903,0.3698175276213661,21.287072086334227,0.3324553447814143
2014-08-19,21.964487198640448,22.24509100088717,21.944600960692192,22.21194839477539,277596000,0.0,0.0,21.75944938659668,0.30078219892065483,21.389581871032714,0.4531974886878778,21.35643653869629,0.37313371873493223
2014-08-20,22.192068164521295,22.335683342803662,22.08380218442407,22.22079086303711,210796000,0.0,0.0,21.906600570678712,0.3127079470894046,21.52391872406006,0.4826580073708929,21.3990909576416,0.4202718516471216
2014-08-21,22.220793430170552,22.302544992518605,22.119157309407388,22.223003387451172,133912000,0.0,0.0,22.042705917358397,0.2578983469896598,21.6586971282959,0.4693831730811754,21.443614864349364,0.45829738047647156
2014-08-22,22.15892463347771,22.419643923448547,22.136830121250327,22.38650131225586,176736000,0.0,0.0,22.190299606323244,0.17316872167981134,21.804081153869628,0.4439832920146353,21.489278507232665,0.5045658797615618
2014-08-25,22.490349127237806,22.57430895452825,22.37766491467965,22.43511199951172,161080000,0.0,0.0,22.29547119140625,0.10676004613463208,21.926708030700684,0.43045308257039167,21.522532081604005,0.544387898708763
2014-08-26,22.408592971840303,22.426269253653285,22.284862370555455,22.29149055480957,132608000,0.0,0.0,22.311379623413085,0.09665043542163866,22.035414505004884,0.35913668354372263,21.555640316009523,0.5707232077867219
2014-08-27,22.32021677149035,22.6626876214345,22.249513318781638,22.56546974182129,209476000,0.0,0.0,22.380315399169923,0.13224975003664835,22.143457984924318,0.3369997317940377,21.60497579574585,0.6138453332391667
2014-08-28,22.446162663268673,22.709091980449177,22.439534476399196,22.591989517211914,273840000,0.0,0.0,22.45411262512207,0.12528836335202503,22.248409271240234,0.2890547090603667,21.6836688041687,0.6351655943292983
2014-08-29,22.72677368847199,22.735611834973323,22.580946799756095,22.647232055664062,178380000,0.0,0.0,22.50625877380371,0.1431052206240637,22.348279190063476,0.22396466242627625,21.759297370910645,0.6560616937485891
2014-09-02,22.770947672793042,22.921192692523782,22.695826005779153,22.823976516723633,214256000,0.0,0.0,22.584031677246095,0.19206508975092934,22.439751434326173,0.21116468285806106,21.849699306488038,0.6726002181055803
2014-09-03,22.779792172095707,22.801886687049333,21.781105599142286,21.860647201538086,501684000,0.0,0.0,22.497863006591796,0.3701808973905238,22.40462131500244,0.27334165522827514,21.897101593017577,0.6354632782542879
2014-09-04,21.840755778252035,22.114731407247465,21.606550941022316,21.67946434020996,342872000,0.0,0.0,22.32066192626953,0.5138920556210467,22.350488662719727,0.35515200297199234,21.937203693389893,0.5915152083784179
2014-09-05,21.829712490229824,21.960071296187486,21.721446511444366,21.867273330688477,233828000,0.0,0.0,22.175718688964842,0.5203940877153218,22.314915657043457,0.385830515656591,21.986806392669678,0.5368419122981597
2014-09-08,21.94018840695036,21.942396678413356,21.664002760768724,21.73249626159668,185426800,0.0,0.0,21.992771530151366,0.4717024954016899,22.24951515197754,0.42571538051171065,22.026798152923583,0.48107609489297504
2014-09-09,21.891582088104315,22.775376261844137,21.241992830980386,21.650747299194336,759385200,0.0,0.0,21.758125686645506,0.10099314600381379,22.1710786819458,0.4587006068159183,22.04889335632324,0.450721643754543
2014-09-10,21.655167835985317,22.340108003164183,21.599930698540188,22.31580352783203,403478400,0.0,0.0,21.8491569519043,0.27379687700031463,22.173509979248045,0.4594735356983323,22.104462242126466,0.4075735379100555
